feature,anova_f,anova_p,mutual_info,rank_anova,rank_mi,rank_combined
acc_y_range_mean,0.19641057248209645,0.6578907912193954,0.023235906606939194,52.0,21.0,36.5
q_06,0.14685751875553862,0.701775008592115,0.01873876518626849,53.0,25.0,39.0
q_18,5.913228921862935,0.015497614302011369,0.0,24.0,56.0,40.0
acc_z_mean_mean,0.0956446281347173,0.7572928947459541,0.01819333175259996,54.0,26.0,40.0
n_rows_raw_mean,-0.0,1.0,0.02583129515372118,67.5,17.0,42.25
n_rows_used_mean,0.2702528194831334,0.6034706034509455,0.004421628567583991,48.0,38.0,43.0
q_13,1.9558939136787576,0.1627840114324561,0.0,30.0,56.0,43.0
q_27,1.9068749396237938,0.16813760598660954,0.0,31.0,56.0,43.5
q_16,1.8628402112116325,0.17312007958075692,0.0,32.0,56.0,44.0
acc_x_std_mean,1.5984474793346861,0.20691281556774244,0.0,33.0,56.0,44.5
acc_z_std_mean,1.2475659902890441,0.26473682330676046,0.0,36.0,56.0,46.0
dominant_freq_hz_mean,1.0582221214397074,0.30428762824859823,0.0,37.0,56.0,46.5
q_23,1.0274059126362365,0.3114257622223075,0.0,38.0,56.0,47.0
n_rows_used_std,0.7698057194415355,0.38084191875520396,0.0,39.0,56.0,47.5
acc_z_range_mean,0.5752833121907878,0.4486460504907623,0.0,41.0,56.0,48.5
total_power_mean,0.44870590630670115,0.5033646006641683,0.0,42.0,56.0,49.0
acc_x_mean_mean,0.004254951544042472,0.9480258292845101,0.008224971572474704,63.0,36.0,49.5
acc_y_mean_std,0.4076982970069173,0.523531920198287,0.0,44.0,56.0,50.0
q_04,0.3643834411543799,0.5464487181297051,0.0,45.0,56.0,50.5
dominant_freq_hz_std,0.35762872043598126,0.5501890626053917,0.0,46.0,56.0,51.0
acc_x_range_mean,0.348711520787061,0.5552010205053349,0.0,47.0,56.0,51.5
acc_y_std_mean,0.25275451217542144,0.6154388865532,0.0,49.0,56.0,52.5
gyro_mag_mean_mean,0.22722920104066008,0.6338651209089855,0.0,50.0,56.0,53.0
acc_x_std_std,0.20583767585241328,0.6503133849609056,0.0,51.0,56.0,53.5
acc_y_mean_mean,0.06411292910409369,0.8002490576325735,0.0,55.0,56.0,55.5
acc_z_std_std,0.06351852735486423,0.8011575955462653,0.0,56.0,56.0,56.0
acc_x_range_std,0.06048574680272368,0.8058651130250202,0.0,57.0,56.0,56.5
gyro_mag_mean_std,0.05654871997850956,0.8121669835439139,0.0,58.0,56.0,57.0
acc_y_std_std,0.05268934443763068,0.8185738114776651,0.0,59.0,56.0,57.5
acc_z_mean_std,0.047174141760702115,0.8281742849812341,0.0,60.0,56.0,58.0
acc_mag_mean_std,0.039474470220103565,0.8426198852830784,0.0,61.0,56.0,58.5
acc_y_range_std,0.010439085096920443,0.9186751817068564,0.0,62.0,56.0,59.0
acc_x_mean_std,0.0037277541930612235,0.9513478390923861,0.0,64.0,56.0,60.0
acc_z_range_std,0.002310439479886246,0.9616885472145523,0.0,65.0,56.0,60.5
q_17,0.0002924957640721386,0.9863639827374286,0.0,66.0,56.0,61.0
n_rows_raw_std,-0.0,1.0,0.0,67.5,56.0,61.75
row_coverage_mean,,,0.010153772401275907,,33.0,
row_coverage_std,,,0.0,,56.0,
missing_ratio_before_fill_mean,,,0.010261751132784047,,32.0,
missing_ratio_before_fill_std,,,0.0,,56.0,
